,Unnamed: 0,date,precipitation,temp_max,temp_min,wind,Unnamed: 0,weather,combined
0,0,2012-01-01,0.0,12.8,5.0,4.7,0,drizzle,0 2012-01-01 0.0 12.8 5.0 4.7 0 drizzle
1,1,2012-01-02,10.9,10.6,2.8,4.5,1,rain,1 2012-01-02 10.9 10.6 2.8 4.5 1 rain
2,2,2012-01-03,0.8,11.7,7.2,2.3,2,rain,2 2012-01-03 0.8 11.7 7.2 2.3 2 rain
3,3,2012-01-04,20.3,12.2,5.6,4.7,3,rain,3 2012-01-04 20.3 12.2 5.6 4.7 3 rain
4,4,2012-01-05,1.3,8.9,2.8,6.1,4,rain,4 2012-01-05 1.3 8.9 2.8 6.1 4 rain
5,5,2012-01-06,2.5,4.4,2.2,2.2,5,rain,5 2012-01-06 2.5 4.4 2.2 2.2 5 rain
6,6,2012-01-07,0.0,7.2,2.8,2.3,6,rain,6 2012-01-07 0.0 7.2 2.8 2.3 6 rain
7,7,2012-01-08,0.0,10.0,2.8,2.0,7,sun,7 2012-01-08 0.0 10.0 2.8 2.0 7 sun
8,8,2012-01-09,4.3,9.4,5.0,3.4,8,rain,8 2012-01-09 4.3 9.4 5.0 3.4 8 rain
9,9,2012-01-10,1.0,6.1,0.6,3.4,9,rain,9 2012-01-10 1.0 6.1 0.6 3.4 9 rain
10,10,2012-01-11,0.0,6.1,-1.1,5.1,10,sun,10 2012-01-11 0.0 6.1 -1.1 5.1 10 sun
11,11,2012-01-12,0.0,6.1,-1.7,1.9,11,sun,11 2012-01-12 0.0 6.1 -1.7 1.9 11 sun
12,12,2012-01-13,0.0,5.0,-2.8,1.3,12,sun,12 2012-01-13 0.0 5.0 -2.8 1.3 12 sun
13,13,2012-01-14,4.1,4.4,0.6,5.3,13,snow,13 2012-01-14 4.1 4.4 0.6 5.3 13 snow
14,14,2012-01-15,5.3,1.1,-3.3,3.2,14,snow,14 2012-01-15 5.3 1.1 -3.3 3.2 14 snow
15,15,2012-01-16,2.5,1.7,-2.8,5.0,15,snow,15 2012-01-16 2.5 1.7 -2.8 5.0 15 snow
16,16,2012-01-17,8.1,3.3,0.0,5.6,16,snow,16 2012-01-17 8.1 3.3 0.0 5.6 16 snow
17,17,2012-01-18,19.8,0.0,-2.8,5.0,17,snow,17 2012-01-18 19.8 0.0 -2.8 5.0 17 snow
18,18,2012-01-19,15.2,-1.1,-2.8,1.6,18,snow,18 2012-01-19 15.2 -1.1 -2.8 1.6 18 snow
19,19,2012-01-20,13.5,7.2,-1.1,2.3,19,snow,19 2012-01-20 13.5 7.2 -1.1 2.3 19 snow
20,20,2012-01-21,3.0,8.3,3.3,8.2,20,rain,20 2012-01-21 3.0 8.3 3.3 8.2 20 rain
21,21,2012-01-22,6.1,6.7,2.2,4.8,21,rain,21 2012-01-22 6.1 6.7 2.2 4.8 21 rain
22,22,2012-01-23,0.0,8.3,1.1,3.6,22,rain,22 2012-01-23 0.0 8.3 1.1 3.6 22 rain
23,23,2012-01-24,8.6,10.0,2.2,5.1,23,rain,23 2012-01-24 8.6 10.0 2.2 5.1 23 rain
24,24,2012-01-25,8.1,8.9,4.4,5.4,24,rain,24 2012-01-25 8.1 8.9 4.4 5.4 24 rain
25,25,2012-01-26,4.8,8.9,1.1,4.8,25,rain,25 2012-01-26 4.8 8.9 1.1 4.8 25 rain
26,26,2012-01-27,0.0,6.7,-2.2,1.4,26,drizzle,26 2012-01-27 0.0 6.7 -2.2 1.4 26 drizzle
27,27,2012-01-28,0.0,6.7,0.6,2.2,27,rain,27 2012-01-28 0.0 6.7 0.6 2.2 27 rain
28,28,2012-01-29,27.7,9.4,3.9,4.5,28,rain,28 2012-01-29 27.7 9.4 3.9 4.5 28 rain
29,29,2012-01-30,3.6,8.3,6.1,5.1,29,rain,29 2012-01-30 3.6 8.3 6.1 5.1 29 rain
30,30,2012-01-31,1.8,9.4,6.1,3.9,30,rain,30 2012-01-31 1.8 9.4 6.1 3.9 30 rain
31,31,2012-02-01,13.5,8.9,3.3,2.7,31,rain,31 2012-02-01 13.5 8.9 3.3 2.7 31 rain
32,32,2012-02-02,0.0,8.3,1.7,2.6,32,sun,32 2012-02-02 0.0 8.3 1.7 2.6 32 sun
33,33,2012-02-03,0.0,14.4,2.2,5.3,33,sun,33 2012-02-03 0.0 14.4 2.2 5.3 33 sun
34,34,2012-02-04,0.0,15.6,5.0,4.3,34,sun,34 2012-02-04 0.0 15.6 5.0 4.3 34 sun
35,35,2012-02-05,0.0,13.9,1.7,2.9,35,sun,35 2012-02-05 0.0 13.9 1.7 2.9 35 sun
36,36,2012-02-06,0.0,16.1,1.7,5.0,36,sun,36 2012-02-06 0.0 16.1 1.7 5.0 36 sun
37,37,2012-02-07,0.3,15.6,7.8,5.3,37,rain,37 2012-02-07 0.3 15.6 7.8 5.3 37 rain
38,38,2012-02-08,2.8,10.0,5.0,2.7,38,rain,38 2012-02-08 2.8 10.0 5.0 2.7 38 rain
39,39,2012-02-09,2.5,11.1,7.8,2.4,39,rain,39 2012-02-09 2.5 11.1 7.8 2.4 39 rain
40,40,2012-02-10,2.5,12.8,6.7,3.0,40,rain,40 2012-02-10 2.5 12.8 6.7 3.0 40 rain
41,41,2012-02-11,0.8,8.9,5.6,3.4,41,rain,41 2012-02-11 0.8 8.9 5.6 3.4 41 rain
42,42,2012-02-12,1.0,8.3,5.0,1.3,42,rain,42 2012-02-12 1.0 8.3 5.0 1.3 42 rain
43,43,2012-02-13,11.4,7.2,4.4,1.4,43,rain,43 2012-02-13 11.4 7.2 4.4 1.4 43 rain
44,44,2012-02-14,2.5,6.7,1.1,3.1,44,rain,44 2012-02-14 2.5 6.7 1.1 3.1 44 rain
45,45,2012-02-15,0.0,7.2,0.6,1.8,45,drizzle,45 2012-02-15 0.0 7.2 0.6 1.8 45 drizzle
46,46,2012-02-16,1.8,7.2,3.3,2.1,46,rain,46 2012-02-16 1.8 7.2 3.3 2.1 46 rain
47,47,2012-02-17,17.3,10.0,4.4,3.4,47,rain,47 2012-02-17 17.3 10.0 4.4 3.4 47 rain
48,48,2012-02-18,6.4,6.7,3.9,8.1,48,rain,48 2012-02-18 6.4 6.7 3.9 8.1 48 rain
49,49,2012-02-19,0.0,6.7,2.2,4.7,49,sun,49 2012-02-19 0.0 6.7 2.2 4.7 49 sun
